City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,keflavik,64.0049,-22.5624,10.24,87,75,3.6,IS,1693458338
83,aswan,24.0934,32.907,29.61,20,0,2.06,EG,1693458338
84,batu pahat,1.8548,102.9325,27.88,79,66,3.35,MY,1693458338
85,sao joao da barra,-21.6403,-41.0511,20.14,90,43,5.68,BR,1693458338
86,navirai,-23.065,-54.1906,20.11,80,61,2.03,BR,1693458132
87,alliance,40.9153,-81.1059,15.78,96,86,3.47,US,1693458338
88,lihue,21.9789,-159.3672,28.58,81,75,8.23,US,1693458243
89,kalabo,-14.97,22.6814,10.99,50,0,2.67,ZM,1693458339
90,carnarvon,-24.8667,113.6333,25.51,53,0,4.93,AU,1693458339
91,ocean city,39.2776,-74.5746,23.01,70,100,3.58,US,1693458339
92,ilulissat,69.2167,-51.1,4.01,87,100,4.63,GL,1693458339
93,basco,20.4487,121.9702,27.99,78,100,2.76,PH,1693458339
94,whitby,54.4877,-0.615,8.97,88,16,1.95,GB,1693458339
95,cabedelo,-6.9811,-34.8339,23.37,83,29,5.44,BR,1693458340
96,ribeira grande,38.5167,-28.7,20.99,89,100,1.79,PT,1693458340
97,bilibino,68.0546,166.4372,7.21,85,96,8.13,RU,1693458340
98,tara,56.8944,74.371,19.45,61,49,3.81,RU,1693458340
99,ola,59.5833,151.2833,21.19,90,96,6.0,RU,1693458340
100,port moresby,-9.4431,147.1797,29.68,58,20,5.14,PG,1693458340
101,bayanaul,50.7889,75.6956,17.87,36,81,8.4,KZ,1693458340
102,belfast,54.5833,-5.9333,11.33,99,96,2.06,GB,1693458340
103,kenora,49.8167,-94.4337,18.54,72,0,3.09,CA,1693458111
104,fale old settlement,-9.3852,-171.2468,28.65,75,37,5.49,TK,1693458341
105,tual,-5.6667,132.75,24.81,79,29,9.03,ID,1693458341
106,egilsstadir,65.2653,-14.3948,7.95,93,100,0.0,IS,1693458341
107,tari,12.4086,4.4914,23.27,88,47,6.0,NG,1693458341
108,papatowai,-46.5619,169.4708,12.73,64,4,1.05,NZ,1693458341
109,vilyuysk,63.7553,121.6247,18.86,71,100,4.26,RU,1693458341
110,murzuq,25.9155,13.9184,29.1,30,4,5.9,LY,1693458218
111,kodiak,57.79,-152.4072,12.73,71,75,4.12,US,1693458246
112,badger,64.8,-147.5333,12.93,94,75,0.0,US,1693458342
113,alice springs,-23.7,133.8833,21.75,26,0,4.63,AU,1693458342
114,lauro de freitas,-12.8944,-38.3272,26.01,83,40,2.57,BR,1693458079
115,enewetak,11.3474,162.3373,28.79,78,92,5.52,MH,1693458342
116,mukalla,14.5425,49.1242,31.17,61,46,0.99,YE,1693458342
117,claveria,18.6074,121.0832,27.51,86,100,1.0,PH,1693458342
118,port elizabeth,-33.918,25.5701,14.16,67,0,2.57,ZA,1693458342
119,constantia,44.1833,28.65,22.61,78,1,1.74,RO,1693458342
120,holualoa,19.6228,-155.9522,27.7,74,40,3.09,US,1693458343
121,nar'yan-mar,67.6713,53.087,12.41,65,47,2.45,RU,1693458343
122,ambodifotatra,-16.9833,49.85,23.3,63,85,8.53,MG,1693458343
123,howrah,22.5892,88.3103,35.0,59,40,0.0,IN,1693458343
124,burang,30.25,81.1667,16.58,33,0,2.07,CN,1693458343
125,qaqortoq,60.7167,-46.0333,4.73,93,100,2.56,GL,1693458343
126,tralee,52.2704,-9.7026,15.18,99,100,2.2,IE,1693458344
127,mitsamiouli,-11.3847,43.2844,22.16,83,20,3.09,KM,1693458344
128,grand falls-windsor,48.9332,-55.6649,20.84,95,100,0.89,CA,1693458344
129,bada,51.392,109.8717,24.2,33,9,0.53,RU,1693458344
130,chonchi,-42.6128,-73.8092,4.56,91,100,1.91,CL,1693458344
131,bac lieu,9.285,105.7244,30.96,65,99,7.32,VN,1693458344
132,lebu,-37.6167,-73.65,7.17,84,58,2.66,CL,1693458344
133,chernyshevskiy,63.0128,112.4714,18.21,58,24,6.34,RU,1693458345
134,kununurra,-15.7667,128.7333,34.99,10,8,3.6,AU,1693458345
135,minas de marcona,-15.2119,-75.1103,12.63,89,56,3.91,PE,1693458345
136,pisco,-13.7,-76.2167,17.23,82,0,2.06,PE,1693458305
137,mugia,43.1041,-9.2179,18.98,91,23,1.63,ES,1693458345
138,hermanus,-34.4187,19.2345,9.33,85,100,5.99,ZA,1693458345
139,mangrol,21.1167,70.1167,28.29,64,75,3.16,IN,1693458142
140,richards bay,-28.783,32.0377,18.51,79,0,6.56,ZA,1693458345
141,pioner,55.3166,85.9508,21.69,73,0,3.0,RU,1693458345
142,bubaque,11.2833,-15.8333,26.64,82,87,3.37,GW,1693458345
143,antofagasta,-23.65,-70.4,16.6,72,42,2.43,CL,1693457484
144,st. john's,47.5649,-52.7093,23.66,95,100,9.77,CA,1693458346
145,taungoo,18.9333,96.4333,29.49,78,97,3.11,MM,1693458346
146,klyuchi,52.2667,79.1667,18.28,48,100,5.89,RU,1693458346
147,punta arenas,-53.15,-70.9167,2.23,77,58,6.57,CL,1693458081
148,luderitz,-26.6481,15.1594,12.77,90,34,4.46,NA,1693458346
149,longyearbyen,78.2186,15.6401,7.91,81,75,5.14,SJ,1693458346
150,tiksi,71.6872,128.8694,1.87,67,98,7.36,RU,1693458346
151,mezhdurechensk,53.6942,88.0603,25.43,55,12,0.96,RU,1693458346
152,san luis de la loma,17.2706,-100.8939,26.14,84,100,1.63,MX,1693458346
153,georgiyevka,43.0369,74.7114,15.02,82,75,3.0,KZ,1693458347
154,college,64.8569,-147.8028,13.18,91,75,1.54,US,1693458072
155,waupaca,44.358,-89.086,14.05,88,0,0.0,US,1693458347
156,haapavesi,64.1333,25.3667,14.18,95,100,1.34,FI,1693458347
157,el galpon,-25.3807,-64.6526,17.08,42,0,1.62,AR,1693458347
158,preobrazheniye,42.9019,133.9064,19.88,97,100,3.37,RU,1693458347
159,whitehorse,60.7161,-135.0538,15.43,58,75,6.17,CA,1693458347
160,galliano,29.4422,-90.2992,26.11,88,0,0.0,US,1693458348
161,paita,-5.0892,-81.1144,20.0,85,6,3.97,PE,1693458348
162,nambutalai,9.7167,79.0,31.66,54,99,2.12,IN,1693458348
163,tamandare,-8.7597,-35.1047,24.4,84,39,2.72,BR,1693458348
164,ust-tsilma,65.441,52.1498,13.63,60,41,2.04,RU,1693458348
165,albany,42.6001,-73.9662,17.02,82,54,1.34,US,1693458236
166,vorgashor,67.5833,63.95,9.76,78,89,2.81,RU,1693458348
167,kingsland,30.8,-81.6898,26.06,88,58,3.89,US,1693458348
168,morondava,-20.2833,44.2833,21.61,52,11,4.08,MG,1693458348
169,nacala,-14.5428,40.6728,21.76,86,39,2.81,MZ,1693458348
170,magadan,59.5667,150.8,20.85,84,78,5.12,RU,1693458349
171,la passe,45.5549,-0.8967,14.13,81,94,3.91,FR,1693458349
172,san antonio de pale,-1.4014,5.6325,23.85,87,99,4.75,GQ,1693458349
173,khyzy,40.9058,49.0813,19.15,62,0,0.18,AZ,1693458349
174,shendi,16.6915,33.4341,28.79,58,100,8.49,SD,1693458349
175,kalmunai,7.4167,81.8167,31.55,57,70,3.65,LK,1693458349
176,ha tinh,18.3333,105.9,32.34,51,82,5.41,VN,1693458350
177,palikir - national government center,6.9248,158.1611,30.47,70,100,1.54,FM,1693458350
178,newman,37.3138,-121.0208,26.83,65,0,3.01,US,1693458350
179,kayangel,8.0823,134.7173,28.56,80,29,6.71,PW,1693458350
180,prado,-17.3411,-39.2208,23.46,96,88,2.93,BR,1693458350
181,plastun,44.7561,136.2939,21.07,84,100,0.65,RU,1693458350
182,hawaiian paradise park,19.5933,-154.9731,25.73,89,100,2.57,US,1693458351
183,niafunke,15.9322,-3.9906,26.92,61,100,8.61,ML,1693458351
184,kamaishi,39.2667,141.8833,28.99,71,47,6.09,JP,1693458351
185,bredasdorp,-34.5322,20.0403,12.03,95,100,2.65,ZA,1693458351
186,bridgewater,44.3835,-64.5155,19.82,96,100,5.66,CA,1693458351
187,cabo san lucas,22.8909,-109.9124,30.42,78,11,0.37,MX,1693458313
188,weno,7.4515,151.8468,31.97,79,100,3.6,FM,1693458352
189,anupgarh,29.1911,73.2086,35.18,39,0,6.57,IN,1693458352
190,aral,40.5156,81.2636,32.68,13,0,2.95,CN,1693458321
191,san andres,12.5847,-81.7006,30.01,79,20,5.66,CO,1693458352
192,chivilcoy,-34.8957,-60.0167,8.39,32,69,2.02,AR,1693458352
193,arvayheer,46.2639,102.775,18.85,48,100,3.68,MN,1693458352
194,guerrero negro,27.9769,-114.0611,23.49,72,100,3.7,MX,1693458246
195,chamical,-30.36,-66.314,16.85,36,7,4.53,AR,1693458353
196,tamanrasset,22.785,5.5228,23.95,35,40,1.03,DZ,1693458353
197,westport,41.1415,-73.3579,21.57,76,0,4.63,US,1693458353
198,uturoa,-16.7333,-151.4333,24.32,70,99,6.39,PF,1693458353
199,fortuna,40.5982,-124.1573,17.19,93,100,4.63,US,1693458353
200,olyokminsk,60.3736,120.4264,28.66,25,74,3.33,RU,1693458354
201,mount darwin,-16.7725,31.5838,12.06,74,0,0.89,ZW,1693458354
202,queenstown,-31.8976,26.8753,12.7,34,0,3.15,ZA,1693458245
203,brookings,44.3114,-96.7984,21.21,79,1,0.45,US,1693458318
204,utrik,11.2278,169.8474,28.83,75,40,6.38,MH,1693458354
205,kokopo,-4.352,152.2633,26.67,67,100,8.9,PG,1693458354
206,youkounkoun,12.5333,-13.1333,22.47,98,17,1.27,GN,1693458354
207,kangding,30.0513,101.9603,17.42,81,98,2.08,CN,1693458354
208,micco,27.8806,-80.5003,27.26,93,57,0.89,US,1693458354
209,chipata,-13.6333,32.65,15.04,59,0,2.76,ZM,1693458355
210,gaalkacyo,6.7697,47.4308,26.91,51,72,9.64,SO,1693458355
211,harper,4.375,-7.7169,24.6,86,99,2.9,LR,1693458355
212,waingapu,-9.6567,120.2641,29.56,39,64,8.03,ID,1693458355
213,port lincoln,-34.7333,135.8667,15.35,60,89,5.13,AU,1693458355
214,sinop,41.7711,34.8709,26.7,38,57,0.8,TR,1693458355
215,choibalsan,48.0667,114.5,24.29,26,2,4.81,MN,1693458355
216,amahai,-3.3333,128.9167,25.81,85,97,5.27,ID,1693458356
217,chui,-33.6971,-53.4616,11.55,85,14,2.49,UY,1693458356
218,kokshetau,53.2775,69.3883,12.18,76,75,9.0,KZ,1693458357
219,papao,-17.75,-149.55,24.82,73,100,4.51,PF,1693458357
220,minas,-34.3759,-55.2377,9.47,87,38,4.39,UY,1693458357
221,coahuayana de hidalgo,18.7,-103.6583,26.42,89,100,0.77,MX,1693458357
222,bangjun,39.9911,117.2628,25.13,64,72,0.72,CN,1693458357
223,nabire,-3.3667,135.4833,29.8,69,47,1.28,ID,1693458357
224,dolores,-36.3132,-57.6792,6.81,79,68,3.61,AR,1693458357
225,talnakh,69.4865,88.3972,8.45,56,55,1.11,RU,1693458357
226,ujae,8.9322,165.7642,28.68,79,85,6.52,MH,1693458357
227,la roda,39.2167,-2.15,18.84,86,18,2.57,ES,1693458358
228,cabanas,22.9758,-82.9219,26.67,91,67,3.83,CU,1693458358
229,alenquer,-1.9417,-54.7383,25.26,56,13,1.77,BR,1693458079
230,sibut,5.718,19.0739,22.1,88,100,0.98,CF,1693458358
231,port alfred,-33.5906,26.891,22.75,32,0,6.32,ZA,1693458358
232,padang,-0.9492,100.3543,30.03,82,96,3.53,ID,1693458068
233,mount pearl,47.5166,-52.7813,23.19,95,100,9.77,CA,1693458358
234,sittwe,20.15,92.9,29.03,79,59,4.55,MM,1693458358
235,katsuura,35.1333,140.3,31.01,72,93,5.07,JP,1693458358
236,bam,29.106,58.357,35.79,12,0,1.71,IR,1693458359
237,port macquarie,-31.4333,152.9167,21.05,84,49,3.58,AU,1693458359
238,peace river,56.2501,-117.286,18.17,88,100,1.54,CA,1693458359
239,vierzon,47.2101,2.0625,13.33,80,71,3.42,FR,1693458359
240,touros,-5.1989,-35.4608,24.01,84,0,4.93,BR,1693458359
241,vilyuchinsk,52.9306,158.4028,25.15,59,78,5.25,RU,1693458359
242,kennett,36.2362,-90.0556,20.64,82,0,4.63,US,1693458359
243,saipan,15.1355,145.701,29.39,84,20,6.17,MP,1693458360
244,gaoyou,32.7858,119.4278,27.05,57,64,3.06,CN,1693458360
245,extrema,-22.8547,-46.3183,12.64,87,3,1.26,BR,1693458360
246,banlung,13.7468,107.0045,25.36,97,98,1.97,KH,1693458360
247,port sudan,19.6175,37.2164,33.44,53,12,4.15,SD,1693458360
248,palmerston north,-40.35,175.6167,14.47,79,59,0.45,NZ,1693458360
249,ascension,30.2169,-90.9001,26.72,54,0,3.09,US,1693458360
250,happy valley-goose bay,53.3168,-60.3315,7.17,93,100,7.72,CA,1693458361
251,wotho,10.1657,166.0102,28.81,74,99,6.25,MH,1693458361
252,bengkulu,-3.8004,102.2655,28.41,70,100,4.96,ID,1693458361
253,bechar,31.6167,-2.2167,27.18,18,0,4.63,DZ,1693458361
254,kavaratti,10.5669,72.642,27.84,80,75,7.43,IN,1693458361
255,alofi,-19.0595,-169.9187,24.94,65,73,7.2,NU,1693458361
256,port saint john's,-31.6229,29.5448,19.85,34,0,2.91,ZA,1693458361
257,chhota udepur,22.3167,74.0167,29.58,64,2,2.94,IN,1693458361
258,wailua homesteads,22.0669,-159.378,28.24,85,75,8.23,US,1693458362
259,bor,56.3567,44.0669,10.96,68,73,1.69,RU,1693458362
260,ancud,-41.8697,-73.8203,8.0,79,100,5.39,CL,1693458362
261,san patricio,28.017,-97.5169,29.92,54,51,3.32,US,1693458362
262,mar del plata,-38.0023,-57.5575,9.51,63,0,5.81,AR,1693458362
263,gwio kura,12.6753,11.0682,24.74,74,100,4.06,NG,1693458362
264,cole harbour,44.6724,-63.4751,19.98,96,100,5.66,CA,1693458363
265,boende,-0.2167,20.8667,21.79,87,44,1.24,CD,1693458363
266,vadso,70.0744,29.7487,12.49,93,0,3.6,NO,1693458201
267,nizhnyaya tavda,57.6731,66.1725,12.93,82,96,4.05,RU,1693458363
268,az zuwaytinah,30.9522,20.1202,24.52,57,0,4.79,LY,1693458364
269,mahdia,35.5047,11.0622,25.97,78,100,5.0,TN,1693458364
270,buala,-8.145,159.5921,26.61,84,83,2.37,SB,1693458364
271,keuruu,62.2667,24.7,16.1,99,100,2.45,FI,1693458364
272,antigonish,45.6169,-61.9986,21.64,98,100,1.79,CA,1693458365
273,baran,25.1,76.5167,31.81,50,7,3.79,IN,1693458365
274,nouadhibou,20.931,-17.0347,25.99,73,94,3.6,MR,1693458365
275,dalbandin,28.8947,64.4101,35.28,27,0,0.9,PK,1693458366
276,ribeira brava,32.65,-17.0667,23.35,71,95,2.15,PT,1693458366
277,acarau,-2.8856,-40.12,25.35,81,1,7.19,BR,1693458366
278,santiago de cao,-7.9589,-79.2392,20.07,88,100,3.6,PE,1693458367
279,puerto san jose,13.9256,-90.8244,27.38,84,100,2.52,GT,1693458367
280,calca,-13.3333,-71.95,8.64,77,37,1.11,PE,1693458367
